type,label,label option,alias,Visual effects and style,occasion tag,user label tag ,target tag,reference url
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Crew Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,V-Neck,,"Helps to elongate the neckline and make the face appear more angular, and add a touch of maturity and sexiness to the hairstyle.",,rounder faces or shorter necks,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Scoop Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Boat Neck,Bateau,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Square Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Sweetheart Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Halter Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Cowl Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Turtleneck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Asymmetrical Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Collar,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Keyhole Neck,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Illusion Neckline,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Portrait Neckline,,,,,,
"TOP, DRESS, SWEATER, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",NECKLINE,Strapless,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, SWEATER, LOUNGE/PAJAMAS",COLLAR,Peter Pan Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Notched Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Peak Lapel,Pointed Lapel,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Shawl Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Mandarin,Band Collar,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Biker Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Funnel Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Spread Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Sailor Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Storm Collar,,,,,,
"JACKET, OUTERWEAR, TOP, DRESS, LOUNGE/PAJAMAS",COLLAR,Draped Collar,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Sleeveless,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Cap,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Short,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Half,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,3/4,,,,,,
"TOP, DRESS, SWEATER,JACKET, OUTERWEAR, LOUNGE/PAJAMAS, ACTIVEWEAR, SWEATSHIRT",SLEEVE LENGTH,Bracelet,,,,,,
